,file,society,date,avis_positif,avis_negatif,status,poste,localisation,mean_rate,general_rate
72,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13802-AVIS-SOC-GLASSDOOR-E3127620_P1.html,LA REDOUTE,"Dec 9, 2019",Aucun avantage dans cette société,Management par la terreur en permanence,Employé actuel,Employé anonyme,None,0.0,1.0
73,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13796-AVIS-SOC-GLASSDOOR-E3054_P2.html,Accor,"Sep 3, 2019",Trajet Mutuelle RTT voiture de fonction,Management Horaires difficiles pas de reconnaissance,Employé actuel,Sales Manager,Paris,3.8,3.0
74,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13734-AVIS-SOC-GLASSDOOR-E10358_P2.html,Thales,"Oct 29, 2019",Projets très intéressants. Management soucieux des collaborateurs.,Beaucoup de bureaucratie et process,Employé actuel,Employé anonyme,Vélizy,4.1,5.0
75,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13634-AVIS-SOC-GLASSDOOR-E7633_P1.html,NVIDIA,"Mar 28, 2019",Un secteur d'activité high-tech qui évolue rapidement,"De nombreux projets trop mis en avant, qui n'aboutissent pas",Employé actuel,Anonymous,Courbevoie,4.5,5.0
76,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13563-AVIS-SOC-GLASSDOOR-E13082_P1.html,CEGID,"Dec 4, 2019","Bonne ambiance, rémunération attractive entre 100 et 140k€ selon les années, remboursement de tous les frais si RDV client (IK, repas, TR, Transport, déplacements...), base installée de clients avec panels d’offres énorme (Retail, Tax, HCM, ERP, Cabinets d’EC), très bonne notoriété...","Rigidité de l’organisation, des financiers tout là haut, trop de rationalisation,  surchauffe...",Employé actuel,Senior Account Manager,Paris,2.7,5.0
77,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13615-AVIS-SOC-GLASSDOOR-E6538_P1.html,CNH Industrial,"Aug 4, 2019","Intéressement
Mutuelle 
CE
Valorisation des compétences","Pas d'évolution intra groupe
Du stress",Ancien employé,Ingénieur méthodes et logistique,"Croix, Nord-Pas-de-Calais",3.5,4.0
78,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13722-AVIS-SOC-GLASSDOOR-E1256638_P2.html,Group Adaming,"Mar 21, 2019","Ambiance conviviale, supérieur direct à l'écoute et qui vous pousse à vous dépasser.",Peu d'avantages et salaire en dessous du marché,Ancien employé,Développeur C#/.NET,Lille,3.1,4.0
79,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13771-AVIS-SOC-GLASSDOOR-E1125581_P1.html,Adthink-Media,"Dec 6, 2019","Je suis chez Adthink depuis plusieurs années. Les projets sont nombreux, innovants et l'ambiance jeune et dynamique est un avantage. L'organisation entre Tassin et Porto donne un côté sympa à l'environnement de travail. Il y a d'excellentes compétences techniques et métiers autour du digital dans cette entreprise et l'autonomie que l'on nous donne sur les projets m'a permis de rapidement progresser.",Contexte diffcile dans des métiers souvent régulés par Google ou Facebook.,Employé actuel,Employé anonyme,Tassin,2.8,5.0
80,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13732-AVIS-SOC-GLASSDOOR-E158808_P2.html,Keyrus Group,"Oct 28, 2019","Belle culture RH; l'entreprise est conciliante travail-famille, elle a à coeur ses employés, bonne esprit d'équipe, communication,  belle énergie .",Gestion de projet et planification stratégique  qui peut être amélioré,Employé actuel,Employé anonyme,"Montréal, QC",4.0,5.0
81,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13702-AVIS-SOC-GLASSDOOR-E1159854_P1.html,Kendo,"Nov 4, 2019","Entreprise très dynamique
Expérience enrichissante
Appartient au groupe LVMH","Manque de structure 
Stress dans les équipes",Employé actuel,Assistant marketing [alternance],Casablanca,2.8,4.0
82,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13712-AVIS-SOC-GLASSDOOR-E3041003_P1.html,Crédit Agricole d'Aquitaine,"Oct 22, 2019",Beaucoup de congés et très bon parcours de formation avec de grandes écoles.,Le salaire trop bas. Trop traditionnelle.,Ancien employé,Employé anonyme,None,3.4,3.0
83,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13767-AVIS-SOC-GLASSDOOR-E1387356_P1.html,Openfield Live,"Dec 11, 2019","Solutions innovantes, bien-être des collaborateurs au cœur de la stratégie, collaborateurs passionnés, écosystème très dynamique.","Innovation va de paire avec secteurs émergents, et budgets parfois en construction. Mais tout cela reste passionnant",Employé actuel,Directeur de projet,Malakoff,2.4,5.0
84,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13795-AVIS-SOC-GLASSDOOR-E231247_P1.html,ACCEO Solutions,"Nov 22, 2019",Belle collaboration avec l'équipe de gestion,Changements fréquents en raison de regroupements,Ancien employé,Employé anonyme,"Sherbrooke, QC",3.3,4.0
85,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13618-AVIS-SOC-GLASSDOOR-E1136406_P1.html,SOTRAVO Filiale SOLOCAL GROUP,"Sep 16, 2019",Objectifs commerciaux difficiles à atteindre,Horaires turn over objectifs difficiles,Ancien employé,Commerciale,Montigny,3.0,3.0
86,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13653-AVIS-SOC-GLASSDOOR-E454220_P1.html,Loria,"Nov 13, 2019",Jai adoré l'esprit de recherche,l'inconvénient était que les plateformes n'était pas forcement accessible,Stagiaire actuel,Stagiaire anonyme,Nancy,4.1,4.0
87,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13787-AVIS-SOC-GLASSDOOR-E35333_P1.html,GFI Group,"Jun 24, 2017",personnel ouvert intéressant et jeune,trop petite société pas assez de monde,Senior,None,"Londres, Angleterre",3.2,3.0
88,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13772-AVIS-SOC-GLASSDOOR-E3974_P1.html,SKF,"Oct 28, 2019",Le CE était assez bien fourni,Rigidité de la direction face aux demandes de changement,Ancien employé,Employé anonyme,Montigny,4.0,4.0
89,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13689-AVIS-SOC-GLASSDOOR-E2098670_P2.html,Adsearch,"Mar 9, 2019",Si vous trouvez les avantages je suis preneur !,De la vrai poudre aux yeux. Un turnover incroyable des équipes. On vous force la main pour répondre au questionnaire du great place to work ! On vous pousse pour que vous mettiez la meilleure note. Des managers inexistants qui ne sont pas à l’écoute ! Veut prôner des valeurs humaines mais inexistantes ! Aucune parole n’est tenue de la part de la direction ! Je vous livre cette avis pour pas que vous tombiez dans le...,Ancien employé,Consultant en recrutement,Paris,4.5,1.0
90,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13614-AVIS-SOC-GLASSDOOR-E230035_P1.html,SeLoger,"Oct 10, 2019","Super locaux, Tickets restaurants, Très bonne mutuelle, 18 rtt","Quartier, Management, ils sortent des offres mais le technique ne suit pas.",Ancien employé,Account Manager,Paris,4.3,3.0
91,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13564-AVIS-SOC-GLASSDOOR-E4245_P2.html,Bayer,"May 15, 2019",CE / ticket restaurant /,Beaucoup de turnover / manque de stabilisation des procédés,Employé actuel,Ingénieur de production,Carcassonne,3.9,3.0
92,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13806-AVIS-SOC-GLASSDOOR-E2701639_P1.html,Veolia Water Tech,"Nov 19, 2019","CP 25 jours + 14 jours de RTT +  quelque jours de pont donnés
Remboursement des dépenses de sortir (sportif et culturelle)
Chaque de vacances + Chaque de culturelle
Cantine",Salaire un peu plus base par rapport le marché,Ancien employé,Employé anonyme,Paris,3.7,3.0
93,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13706-AVIS-SOC-GLASSDOOR-E19928_P1.html,Merial,"Aug 26, 2019",tout est bien avec l'entreprise,pas d'inconvenients dans l'entreprise Merial,Employé actuel,Employé anonyme,Lyon,4.0,5.0
94,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13596-AVIS-SOC-GLASSDOOR-E111193_P1.html,Lacoste,"Oct 18, 2019",Très pédagogique car vous avez des formations,En inconvénients je dirais le Salaire,Ancien employé,Vendeuse,Cannes,3.4,4.0
95,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13586-AVIS-SOC-GLASSDOOR-E649071_P1.html,Groupe Creative,"Dec 6, 2019","A Mérignac :
Proximité manager
Ecoute
Salaire correct
Bonne ambiance
Evénements after work
Choix des missions","CE quasi inexistant
Mutuelle un peu faible par rapport au grand groupe.
TR 7€
Stricte Minimum de RTT
Pas d'intéressement
Peu de formation",Ancien employé,Ingénieur Développement Logiciel,"Mérignac, Aquitaine",3.6,4.0
96,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13558-AVIS-SOC-GLASSDOOR-E6162_P1.html,Dassault Systemes,"Dec 4, 2019","- Collègues tres smart 
- Formation permanente 
- Process efficaces 
- Fléxibilité 
- Rémuneration et avantages très attractifs",Il n'y a pas d'inconvenients,Ancien employé,Finance,Vélizy,3.7,5.0
97,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13550-AVIS-SOC-GLASSDOOR-E10686_P2.html,Atos,"Nov 18, 2019",Mission Ambiance Hiérarchie Direction Implication,Rien A Signaler Pour Instant,Employé actuel,IT Business Analyst,Toulouse,3.3,5.0
98,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13807-AVIS-SOC-GLASSDOOR-E1260894_P1.html,Groupe NICOLLIN - Groupe VEOLIA,"Dec 16, 2017","Travail dans le secteur bancaire
Bien payé",Horaires et contexte très exigeants,Employé actuel,Employé anonyme,None,3.0,3.0
99,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13626-AVIS-SOC-GLASSDOOR-E3765_P2.html,BMO Financial Group,"Aug 30, 2018","Ambiance, rabais sur les produits",Mauvaise gestion et peut de possibilité d'avancement,preteur,None,"Montréal, QC",3.7,3.0
100,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13728-AVIS-SOC-GLASSDOOR-E200717_P2.html,Astek,"Sep 16, 2019","Plusieurs clients, une bonne équipe de commerciaux","pas bcp d'avantage, pass bcp de RTT",Employé actuel,Ingénieur Informatique,Paris,2.9,3.0
101,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13668-AVIS-SOC-GLASSDOOR-E1127933_P1.html,cerema,"Sep 4, 2019","Ambiance, variété missions, cohésion équipe",aucun aucun aucun aucun aucun,Ancien intérimaire,Intérimaire anonyme,"Bron, Rhône-Alpes",3.9,4.0
102,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13660-AVIS-SOC-GLASSDOOR-E26056_P2.html,Groupe SII,"Sep 30, 2019","J'ai trouvé chez SII ce que je n'avais jamais constaté en SSII auparavant: des commerciaux présents, la possibilité de faire des missions différentes sans être catégorisé à un type d'activité ou un secteur, l'agence donne sa chance aux collab, bien être du collab non négligé..","Depuis 2 ans, le groupe grossit, les objectifs en terme de croissance explosent, la réorganisation a du mal à se mettre en place, SII tente de séduire les juniors avec des projets funky innovant et sous estime l'effort à fournir, on communique à plein tube sur la fun Collab Attitude, on met en place des nouveaux statuts et le travail, l'implication, la rigueur deviennent has been",Ancien employé,Employé anonyme,Paris,3.6,2.0
103,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13585-AVIS-SOC-GLASSDOOR-E13058_P1.html,Cegedim,"Dec 4, 2019","taille de l'entreprise, CE, intéressement et participation",un peu en mode startup,Employé actuel,Ingénieur Technico,Toulouse,3.3,4.0
104,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13722-AVIS-SOC-GLASSDOOR-E1256638_P1.html,Group Adaming,"Dec 6, 2019",Adaming vous laisse votre chance à partir du moment où vous avez un bac+5 et que vous êtes un minimum sérieux pendant la formation de 3 mois (qui est complète et bien amenée).,Le salaire est forcément en dessous du marché les 6 premiers mois d'emplois pour rentabiliser la formation et pendant la formation vous ne touchez que le chômage si vous y avez droit. Et vous n'avez pas vocation à évoluer au sein de l'entreprise et à y rester longtemps,Employé actuel,Junior SAP Consultant,Toulouse,3.1,4.0
105,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13718-AVIS-SOC-GLASSDOOR-E1881876_P1.html,CITECH,"Nov 12, 2019",Une entreprise où il fait bon vivre / De belles primes,Ne me prononce pas,Employé actuel,Ingénieur D'Affaires,Paris,4.6,5.0
106,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13755-AVIS-SOC-GLASSDOOR-E1762947_P1.html,Open Minds Open Hearts Day Care,"Dec 1, 2017",Carte Tickets Restaurant + Mutuelle,Aucune considération du salarié dans l'ensemble de la hiérarchie.,Employé actuel,Ingénieur Consultant,"Tours, Centre",2.0,1.0
107,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13700-AVIS-SOC-GLASSDOOR-E1127781_P2.html,CELINE,"Feb 20, 2018","Tres bonne ambiance et esprit d'equpe,  des collègues très compétents et passionnés.  Le cadre de travail est agréable,  le travail de chaque collaborateur est valorisé et apprecié.  C’était une super expérience.","Comme c'est le cas souvent dans les maisons de mode, l'ambiance et le rythme de travail peuvent évoluer selon les changements au niveau de la direction artistique.  Cela n’était pas le cas pendant mon temps au sein de la maison.",Ancien employé,Employé anonyme,Paris,3.0,5.0
108,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13734-AVIS-SOC-GLASSDOOR-E10358_P1.html,Thales,"Dec 13, 2019","CE , restaurant d'entreprise ( une usine )","On se croirais dans une maison de retraite. Climat austère. Process indigeste. Aucune multiculturalité. Si l'on vient d'une entreprise externe avec  plus de 10 ans d'expérience , passer votre chemin , l'adaptation  est quasi insurmontable. Client unique ( l'armée française)… J'y suis resté 2 ans en tant que salarié , aucun accompagnement , je n'ai jamais réellement compris les attentes du poste. Pour c'est une entreprise à fuir du moins le service dans lequel je suis tombé. Entreprise à vomir",Employé actuel,Project Manager,Gennevilliers,4.1,1.0
109,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13546-AVIS-SOC-GLASSDOOR-E12966_P2.html,Devoteam,"Nov 20, 2019","Nombreux happenings
Bonne ambiance générale
Présence commerciale importante en clientèle
Bonne mutuelle (Henner)","Les réorganisations ont fait que j'ai fini avec un bon manager très peu disponible car lui-même en mission en clientèle.
L'équipe commerciale n'a aucun intérêt à sortir un collaborateur de mission même si ça doit passer par des extrêmes.
Pas de formation malgré les promesses en entretien annuel.
Incitation à rogner sur la vie personnelle par une rémunération variable incitative (nombre de jours de présence en clientèle supérieur à 210, participation à des actions à réaliser en dehors des horaires de travail ""conventionnelles""...)
Devoteam a dénoncé son accord d'entreprise, aucun nouvel accord jusqu'à mon départ.",Ancien employé,Chef de projet maîtrise d'œuvre,Lyon,4.1,2.0
110,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13660-AVIS-SOC-GLASSDOOR-E26056_P1.html,Groupe SII,"Nov 22, 2019",Activités et avantages proposées par le CE,Salaire qui évolue assez peu,Employé actuel,Employé anonyme,Lyon,3.6,3.0
111,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13649-AVIS-SOC-GLASSDOOR-E2548_P2.html,Manpower,"Oct 12, 2019",Flexibilité. Reconnaissance humaine. Avantages sociaux.,"A titre personnel, aucun inconvénients",Employé actuel,Employé anonyme,Troyes,4.3,4.0
112,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13716-AVIS-SOC-GLASSDOOR-E466295_P2.html,Sopra Steria,"Nov 23, 2019","Salaire correct
Bonne ambiance d'équipe
Confiance dans les développeurs","Selon les équipes, la pression peut être très forte.
La répartition du travail peut être assez injuste, peu de reconnaissance du travail accompli, et peu de ""recadrage"" quand celui ci n'est pas fait",Ancien employé,Employé anonyme,Lille,3.4,3.0
113,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13753-AVIS-SOC-GLASSDOOR-E13339_P1.html,Open,"Dec 12, 2019","À l'écoute des collaborateurs. 
Tickets restaurant.",Rémunération un peu en dessous de la moyenne.,Employé actuel,Ingénieur D'études,Lille,3.5,5.0
114,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13679-AVIS-SOC-GLASSDOOR-E906809_P2.html,Fortuneo SA,"Jul 13, 2017","Société à taille humaine, organisation agile, circuits de décision courts. 
Forts enjeux de croissance, entreprise bien gérée ; 
CE et avantages sociaux avantageux",Certaines contraintes du secteur bancaire ralentissent parfois l'avancement des projets ; nécessité de s'adapter régulièrement sur un marché très challengé,Employé actuel,Marketing,Paris,3.5,4.0
115,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13708-AVIS-SOC-GLASSDOOR-E4252_P1.html,Groupe Crédit Agricole,"Dec 10, 2019","Groupe collaboratif, salaire, missions variées (valable pour la banque en général)","Des périodes creuses parfois trop nombreuses
Une déconnexion des services",Employé actuel,Stagiaire,Casablanca,3.8,4.0
116,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13676-AVIS-SOC-GLASSDOOR-E1130981_P1.html,Groupe Altice Média,"Mar 3, 2019","Bons horaires
De bonnes responsabilités
Une bonne ambiance",Dépendence entre les différents services,Stagiaire actuel,Stagiaire anonyme,Paris,3.4,4.0
117,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13725-AVIS-SOC-GLASSDOOR-E10842_P1.html,Plastic Omnium,"Dec 11, 2019",Entreprise internationale avec des opportunités dans toutes les régions,"Gestion à l’ancienne 
L’équipe RH pas très présente en ce qui concerne l’accompagnement des salariés",Employé actuel,Employé anonyme,Lyon,3.5,3.0
118,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13577-AVIS-SOC-GLASSDOOR-E235143_P1.html,UK Ministry of Defence,"Oct 1, 2009",Possibilité de travailler sur de vastes projets d'importance stratégique dans le domaine de la haute technologie. De nombreuses possibilités d'évoluer avec des projets variés. Grande autonomie pour chaque employé.,"Mauvaise gestion des RH, carrière décidée par le diplôme initial. Difficulté à lancer de nouveaux projets. Lenteur administrative fréquente dans la vie quotidienne.",Anonymous,None,Paris,3.5,4.0
119,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13809-AVIS-SOC-GLASSDOOR-E413452_P2.html,Transdev,"Jul 20, 2019",Des équipes engagées et passionnées,"Un management instable: 4 PDG et 4 DG France en 8 ans, des réorganisations à la chaîne, une stratégie peu claire, perte de connaissance métier et une déconnexion entre les valeurs affichées et les pratiques du management",,None,Issy,2.9,1.0
120,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13729-AVIS-SOC-GLASSDOOR-E234791_P1.html,Astek Group,"Aug 28, 2016",Salaire plus élevé que la plupart des sociétés de services basés a Sophia Antipolis,"Politique: faire un maximum de profit
Management: Aucun suivi
Il vous faut démissionner si la mission ne vous convient pas!",,None,Antibes,1.7,2.0
121,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13570-AVIS-SOC-GLASSDOOR-E1394648_P1.html,Abaka,"Apr 18, 2019","Une bonne ambiance et des collègues de bon niveau, à l’écoute.",Trop loin du centre ville de Rennes mais ils ont déménagé depuis mon départ,Ancien employé,Chargé De Recherche,Bruz,4.8,5.0
122,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13612-AVIS-SOC-GLASSDOOR-E845851_P1.html,Feu Vert,"Sep 23, 2019",Je cherche encore des avantages....,"RH inhumains, manager débordée et incapable de gérer son équipe correctement. A fuir",Ancien employé,Employé anonyme,Compiègne,2.8,1.0
123,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13691-AVIS-SOC-GLASSDOOR-E1130973_P1.html,Groupe Adéquat,"Nov 6, 2019","Ponctualité, sérieux, à l'écoute, souplesse., Régularité","Aucun, aucun, aucun, aucun, aucun",Ancien employé,Employé anonyme,Grenoble,3.9,4.0
124,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13678-AVIS-SOC-GLASSDOOR-E379472_P1.html,Logware,"Dec 10, 2019","Aucun avantage, ne perdez pas votre temps.
Que des mensonges","- Préjugé sur des simples dit
- Aucune notion de management
Fin de mission en période d'essais, on me demande de demander un congé sans soldes,  donc congé sans soldes IMPOSES et pendant ce dernier on me licencie pour motif : trop de personnes en intercontrat.

RH incompétente.

Un conseil fuyez et ne prenez jamais contact avec cette ""Entreprise"".",Employé actuel,Coordinateur IT,Paris,3.6,1.0
125,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13652-AVIS-SOC-GLASSDOOR-E788645_P1.html,ITS Group,"Dec 12, 2019","Agence régionale proche des collaborateurs, suivis, évolution professionnelle.
Missions variées (plusieurs grands comptes).",Comme dans toutes les ESN !,Employé actuel,responsable opérationnel de comptes,Lille,3.5,4.0
126,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13803-AVIS-SOC-GLASSDOOR-E20114_P1.html,Veolia,"Dec 12, 2019","Treizième mois, très bon CE, locaux agréables",difficulté à se sentir à sa place parfois,Employé actuel,Employé anonyme,Bruxelles,3.4,3.0
127,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13699-AVIS-SOC-GLASSDOOR-E3489_P2.html,LVMH,"Jun 7, 2019",On acquière de l’expérience,Un groupe financier très exigeant,Employé actuel,Customer Service Manager,Bruxelles,3.7,3.0
128,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13629-AVIS-SOC-GLASSDOOR-E474142_P1.html,CRIM (Computer Research Institute of Montreal),"Nov 12, 2019","- Ambiance de travail collaborative et relaxe
- Technologies de pointe et grande liberté côté choix technologiques
- Projets parfois stimulants
- Conditions de travail (5 semaines de vacances la première année, télétravail hebdomadaire, journées de maladie illimitées, 5% REER, etc.)","- Gestion des projet largement déficiente à tous les niveaux
- Finalité des solutions développées discutables pour de nombreux projets subventionnés
- Bonnes pratiques de développement déficientes, incapable de livrer des solutions logicielles robustes
- Beaucoup de projets en parallèle rend le temps de travail peu productif
- Projets clients souvent peu stimulants",Employé actuel,Agent De Recherche Sénior,"Montréal, QC",3.5,4.0
129,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13606-AVIS-SOC-GLASSDOOR-E31197_P1.html,Volvo Construction Equipment,"Nov 27, 2018","Travailler pour un grand groupe de grande renommée, tout en profitant de l'agilité d'une structure locale de taille raisonnable.","Environnement très politique, luttes d'influences, management débordé.",Employé actuel,Employé anonyme,Bruxelles,4.0,4.0
130,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13769-AVIS-SOC-GLASSDOOR-E658429_P1.html,Phaidon International,"Jun 21, 2017","- Structure de commission supérieure vous permettant d'économiser des sommes exorbitantes si vous faites bien votre travail. 
- Excellente culture et progression, en atteignant vos objectifs de façon constante, vous recevrez rapidement une promotion et vous aurez toujours le temps d'en profiter avec des gens vraiment sympathiques.
- De grandes chances de vous retrouver devant les clients plutôt que dans une boîte...","- Il y a très peu d'infrastructures. Cela veut dire qu'il faut sortir les poubelles - en été il fait très chaud dans le bureau.
- Sérieusement, si je dois passer un autre week-end à skier en montagne, ou à descendre une rivière pendant 4 heures avec une bière à la main, je vais faire une dépression.",Employé actuel,Consultant principal,Zurich,3.9,3.0
131,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13640-AVIS-SOC-GLASSDOOR-E427636_P2.html,Altran Engineering Solution,"Sep 29, 2019",Pass navigo remboursé à 100% et c’est tout,"Aucune valorisation de l’être humain , aucune prise en compte de la qualité du travail, seul la quantité compte, pas d’intéressement, pas de participation, pas de primes, aucune confiance.
Aucune opportunité d’évolution.
Salaire bien en dessous de la moyenne du marché. 
Aucun équilibre vie privé et pro.
Pas de valeurs, pas de culture d’entreprise",Ancien employé,Manager recrutement,Puteaux,3.2,1.0
132,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13625-AVIS-SOC-GLASSDOOR-E192082_P2.html,Polytechnique Montréal,"Oct 16, 2017","-Travailler avec des experts de renommée mondiale
-Horaire Flexible",L'administration mets parfois du temps à gérer vos demande.,Employé actuel,Employé anonyme,"Montréal, QC",4.4,5.0
133,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13572-AVIS-SOC-GLASSDOOR-E2098670_P1.html,Adsearch,"Nov 5, 2019","Travail d'équipe, horaire appréciable, formateur","La Rémunération du à l'alternance,",Employé actuel,Chargée De Recrutement,Lyon,4.5,5.0
134,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13563-AVIS-SOC-GLASSDOOR-E13082_P2.html,CEGID,"Aug 6, 2019",Votre CE est la seule chose qui vous sauve.,Manque absolu de respect envers les employés. C'est bien beau des faire des événements pour valoriser vos produits mais il faut penser à vos collaborateurs.,Ancien employé,Employé anonyme,Lyon,2.7,1.0
135,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13790-AVIS-SOC-GLASSDOOR-E9028_P1.html,Gfi Informatique,"Dec 12, 2019","Des missions plutôt sympa, des managers à l'écoute, et les missions en CDS juste à côté de la gare Lille Flandres",Quelques projets sur d'anciennes stack techniques,Employé actuel,Analyste technique,Lille,3.4,5.0
